Common Name,Scientific Name,Range,Status
Great Tinamou,Tinamus major,,NT
Fulvous Whistling-Duck,Dendrocygna bicolor,RR,
Masked Duck,Nomonyx dominicus,LC,
Plain Chachalaca,Ortalis vetula,RR,
White-bellied Chachalaca,Ortalis leucogastra,RR,
Black Guan,Chamaepetes unicolor,NE,
Great Curassow,Crax rubra,LC,V
Buffy-crowned Wood-Partridge,Dendrortyx leucophrys,LC,
Crested Bobwhite,Colinus cristatus,RR,
Marbled Wood-Quail,Odontophorus gujanensis,LC,NT
Black-eared Wood-Quail,Odontophorus melanotis,LC,
Black-breasted Wood-Quail,Odontophorus leucolaemus,NE,
White-crowned Pigeon,Patagioenas leucocephala,,NT
Ruddy Pigeon,Patagioenas subvinacea,,V
Inca Dove,Columbina inca,RR,
Plain-breasted Ground Dove,Columbina minuta,LC,
Maroon-chested Ground Dove,Paraclaravis mondetoura,LC,
Buff-fronted Quail-Dove,Zentrygon costaricensis,NE,
Purplish-backed Quail-Dove,Zentrygon lawrencii,LC,
Chiriqui Quail-Dove,Zentrygon chiriquensis,NE,
Lesser Ground-Cuckoo,Morococcyx erythropygus,RR,
Rufous-vented Ground-Cuckoo,Neomorphus geoffroyi,,V
White-tailed Nightjar,Hydropsalis cayennensis,LC,
Chuck-will's-widow,Antrostomus carolinensis,,NT
Rufous Nightjar,Antrostomus rufus,LC,
Eastern Whip-poor-will,Antrostomus vociferus,,NT
Dusky Nightjar,Antrostomus saturatus,NE,
Common Potoo,Nyctibius griseus,RR,
Black Swift,Cypseloides niger,,V
Chimney Swift,Chaetura pelagica,,V
Costa Rican Swift,Chaetura fumosa,NE,
Brown Violetear,Colibri delphinae,LC,
Green-breasted Mango,Anthracothorax prevostii,RR,
Veraguan Mango,Anthracothorax veraguensis,NE,
Black-crested Coquette,Lophornis helenae,RR,
White-crested Coquette,Lophornis adorabilis,NE,
Magnificent Hummingbird,Eugenes fulgens,RR,
Long-billed Starthroat,Heliomaster longirostris,RR,
Plain-capped Starthroat,Heliomaster constantii,RR,
Fiery-throated Hummingbird,Panterpe insignis,NE,
White-bellied Mountain-gem,Lampornis hemileucus,NE,
Purple-throated Mountain-gem,Lampornis calolaemus,NE,
Gray-tailed Mountain-gem**,Lampornis cinereicauda,E,
Magenta-throated Woodstar,Philodice bryantae,NE,
Volcano Hummingbird,Selasphorus flammula,NE,
Scintillant Hummingbird,Selasphorus scintilla,NE,
Garden Emerald,Chlorostilbon assimilis,NE,
Snowcap,Microchera albocoronata,LC,
Coppery-headed Emerald,Microchera cupreiceps,E,
White-tailed Emerald,Microchera chionura,NE,
